[Çar, 3-Şub-2021, 14:21:45] | INFO | Server started. |
[Çar, 3-Şub-2021, 14:35:24] | INFO | Server started. |
[Çar, 3-Şub-2021, 14:35:45] | INFO | Button (before the Modal): Sınava Başla düğmesine basıldı. |
[Çar, 3-Şub-2021, 14:35:46] | INFO | Button (on the Modal): Sınava Başla düğmesine basıldı. |
[Çar, 3-Şub-2021, 14:35:47] | INFO | Sınav sayfası görüntülendi. |
[Çar, 3-Şub-2021, 14:35:56] | INFO | A seçeneği işaretlendi. |
[Çar, 3-Şub-2021, 14:36:6] | INFO | İşaretleme kaldırıldı: undefined seçeneği |
[Çar, 3-Şub-2021, 14:36:9] | INFO | B seçeneği işaretlendi. |
[Çar, 3-Şub-2021, 14:36:10] | INFO | B seçeneği işaretlendi. |
[Çar, 3-Şub-2021, 14:36:10] | INFO | Tekrar Bak düğmesi işaretlendi. Soru 2 — Tekrar bakılacak mı: Evet |
[Çar, 3-Şub-2021, 14:37:47] | INFO | Sınav sayfası görüntülendi. |
[Çar, 3-Şub-2021, 14:38:6] | INFO | İşaretleme kaldırıldı: undefined seçeneği |
[Çar, 3-Şub-2021, 14:39:47] | INFO | Sınav sayfası görüntülendi. |
[Çar, 3-Şub-2021, 14:41:9] | INFO | Server started. |
[Çar, 3-Şub-2021, 14:44:16] | INFO | Button (before the Modal): Sınava Başla düğmesine basıldı. |
[Çar, 3-Şub-2021, 14:44:17] | INFO | Button (on the Modal): Sınava Başla düğmesine basıldı. |
[Çar, 3-Şub-2021, 14:44:18] | INFO | Sınav sayfası görüntülendi. |
[Çar, 3-Şub-2021, 14:44:28] | INFO | Sınav sayfası görüntülendi. |
[Çar, 3-Şub-2021, 14:44:38] | INFO | C seçeneği işaretlendi. |
[Çar, 3-Şub-2021, 14:44:39] | INFO | İşaretleme kaldırıldı: C seçeneği |
[Çar, 3-Şub-2021, 14:45:0] | INFO | Tekrar Bak düğmesi işaretlendi. Soru 1 — Tekrar bakılacak mı: Evet |
[Çar, 3-Şub-2021, 14:45:8] | INFO | B seçeneği işaretlendi. |
[Çar, 3-Şub-2021, 14:45:10] | INFO | C seçeneği işaretlendi. |
[Çar, 3-Şub-2021, 14:46:28] | INFO | Sınav sayfası görüntülendi. |
[Çar, 3-Şub-2021, 14:47:8] | INFO | B seçeneği işaretlendi. |
[Çar, 3-Şub-2021, 14:48:5] | INFO | Sınavı Bitir düğmesine basıldı. Modal görüntülendi: Sınavı bitirmek istediğinizden emin misiniz? |
[Çar, 3-Şub-2021, 14:48:10] | INFO | Evet düğmesine basıldı (Modal). Sınav tamamlandı. |
[Çar, 3-Şub-2021, 14:48:18] | INFO | Sınav sayfası görüntülendi. |
[Çar, 3-Şub-2021, 14:49:15] | INFO | B seçeneği işaretlendi. |
[Çar, 3-Şub-2021, 14:49:18] | INFO | C seçeneği işaretlendi. |
[Çar, 3-Şub-2021, 14:49:35] | INFO | İşaretleme kaldırıldı: C seçeneği |
